a1:2, a3:5, m: 1, u0: 1

i: RK, Exact, inaccuracy
287: 0.00169639, 0.00175309, 5.66937e-05
288: 0.00166275, 0.00171837, 5.56271e-05
289: 0.00162977, 0.00168435, 5.45804e-05
290: 0.00159744, 0.00165099, 5.35534e-05
291: 0.00156576, 0.0016183, 5.25457e-05
292: 0.0015347, 0.00158626, 5.15569e-05
293: 0.00150426, 0.00155485, 5.05866e-05
294: 0.00147442, 0.00152406, 4.96346e-05
295: 0.00144518, 0.00149388, 4.87004e-05
296: 0.00141652, 0.0014643, 4.77837e-05
297: 0.00138842, 0.0014353, 4.68843e-05
298: 0.00136088, 0.00140688, 4.60017e-05
299: 0.00133389, 0.00137902, 4.51357e-05
300: 0.00130743, 0.00135172, 4.4286e-05
301: 0.0012815, 0.00132495, 4.34522e-05
302: 0.00125608, 0.00129872, 4.26341e-05
303: 0.00123117, 0.001273, 4.18313e-05
304: 0.00120675, 0.00124779, 4.10436e-05
305: 0.00118281, 0.00122308, 4.02707e-05
306: 0.00115935, 0.00119887, 3.95124e-05
307: 0.00113636, 0.00117513, 3.87682e-05
308: 0.00111382, 0.00115186, 3.8038e-05
309: 0.00109173, 0.00112905, 3.73216e-05
310: 0.00107007, 0.00110669, 3.66186e-05
311: 0.00104885, 0.00108478, 3.59288e-05
312: 0.00102805, 0.0010633, 3.5252e-05
313: 0.00100766, 0.00104224, 3.45879e-05
314: 0.000987669, 0.00102161, 3.39362e-05
315: 0.000968079, 0.00100138, 3.32969e-05
316: 0.000948878, 0.000981547, 3.26695e-05
317: 0.000930057, 0.000962111, 3.20539e-05
318: 0.00091161, 0.00094306, 3.14499e-05
319: 0.000893529, 0.000924386, 3.08572e-05
320: 0.000875807, 0.000906082, 3.02757e-05
321: 0.000858436, 0.000888141, 2.97051e-05
322: 0.000841409, 0.000870554, 2.91452e-05
323: 0.00082472, 0.000853316, 2.85959e-05
324: 0.000808362, 0.000836419, 2.80568e-05
325: 0.000792329, 0.000819857, 2.7528e-05
326: 0.000776614, 0.000803623, 2.7009e-05
327: 0.00076121, 0.00078771, 2.64998e-05
328: 0.000746112, 0.000772112, 2.60002e-05
329: 0.000731313, 0.000756823, 2.551e-05
330: 0.000716808, 0.000741837, 2.5029e-05
331: 0.000702591, 0.000727148, 2.4557e-05
332: 0.000688655, 0.000712749, 2.4094e-05
333: 0.000674996, 0.000698636, 2.36396e-05
334: 0.000661608, 0.000684802, 2.31938e-05
335: 0.000648486, 0.000671242, 2.27564e-05
336: 0.000635623, 0.00065795, 2.23271e-05
337: 0.000623016, 0.000644922, 2.1906e-05
338: 0.000610659, 0.000632152, 2.14928e-05
339: 0.000598547, 0.000619634, 2.10874e-05
340: 0.000586675, 0.000607365, 2.06896e-05
341: 0.000575039, 0.000595338, 2.02992e-05
342: 0.000563633, 0.00058355, 1.99163e-05
343: 0.000552454, 0.000571995, 1.95405e-05
344: 0.000541496, 0.000560668, 1.91718e-05
345: 0.000530756, 0.000549566, 1.88101e-05
346: 0.000520229, 0.000538684, 1.84551e-05
347: 0.000509911, 0.000528017, 1.81068e-05
348: 0.000499797, 0.000517562, 1.77651e-05
349: 0.000489884, 0.000507314, 1.74298e-05
350: 0.000480167, 0.000497268, 1.71009e-05
351: 0.000470643, 0.000487422, 1.67781e-05
352: 0.000461309, 0.00047777, 1.64614e-05
353: 0.000452159, 0.000468309, 1.61507e-05
354: 0.000443191, 0.000459036, 1.58458e-05
355: 0.0004344, 0.000449947, 1.55467e-05
356: 0.000425784, 0.000441037, 1.52531e-05
357: 0.000417339, 0.000432304, 1.49652e-05
358: 0.000409061, 0.000423744, 1.46826e-05
359: 0.000400948, 0.000415353, 1.44054e-05
360: 0.000392995, 0.000407129, 1.41334e-05
361: 0.000385201, 0.000399067, 1.38665e-05
362: 0.00037756, 0.000391165, 1.36046e-05
363: 0.000370072, 0.000383419, 1.33477e-05
364: 0.000362732, 0.000375827, 1.30956e-05
365: 0.000355537, 0.000368385, 1.28483e-05
366: 0.000348485, 0.000361091, 1.26056e-05
367: 0.000341573, 0.000353941, 1.23675e-05
368: 0.000334798, 0.000346932, 1.21338e-05
369: 0.000328158, 0.000340062, 1.19046e-05
370: 0.000321649, 0.000333329, 1.16797e-05
371: 0.000315269, 0.000326728, 1.14591e-05
372: 0.000309016, 0.000320259, 1.12426e-05
373: 0.000302887, 0.000313917, 1.10302e-05
374: 0.000296879, 0.000307701, 1.08217e-05
375: 0.000290991, 0.000301608, 1.06173e-05
376: 0.000285219, 0.000295636, 1.04166e-05
377: 0.000279562, 0.000289782, 1.02198e-05
378: 0.000274017, 0.000284044, 1.00266e-05
379: 0.000268582, 0.00027842, 9.83713e-06
380: 0.000263255, 0.000272906, 9.65121e-06
381: 0.000258034, 0.000267503, 9.46879e-06
382: 0.000252916, 0.000262206, 9.28981e-06
383: 0.000247899, 0.000257014, 9.11421e-06
384: 0.000242983, 0.000251924, 8.94192e-06
385: 0.000238163, 0.000246936, 8.77287e-06
386: 0.000233439, 0.000242046, 8.60702e-06
387: 0.000228809, 0.000237253, 8.44429e-06
388: 0.000224271, 0.000232556, 8.28464e-06
389: 0.000219823, 0.000227951, 8.12799e-06
390: 0.000215463, 0.000223437, 7.9743e-06
391: 0.000211189, 0.000219013, 7.82351e-06
392: 0.000207, 0.000214676, 7.67556e-06
393: 0.000202895, 0.000210425, 7.53041e-06
394: 0.00019887, 0.000206258, 7.38799e-06
395: 0.000194926, 0.000202174, 7.24827e-06
396: 0.00019106, 0.000198171, 7.11117e-06
397: 0.00018727, 0.000194247, 6.97667e-06
398: 0.000183556, 0.0001904, 6.8447e-06
399: 0.000179915, 0.00018663, 6.71523e-06
400: 0.000176346, 0.000182935, 6.58819e-06
401: 0.000172849, 0.000179312, 6.46356e-06
402: 0.00016942, 0.000175762, 6.34128e-06
403: 0.00016606, 0.000172281, 6.2213e-06
404: 0.000162766, 0.00016887, 6.10359e-06
405: 0.000159538, 0.000165526, 5.9881e-06
406: 0.000156374, 0.000162248, 5.8748e-06
407: 0.000153272, 0.000159036, 5.76363e-06
408: 0.000150232, 0.000155887, 5.65456e-06
409: 0.000147252, 0.0001528, 5.54755e-06
410: 0.000144332, 0.000149774, 5.44256e-06
411: 0.000141469, 0.000146809, 5.33955e-06
412: 0.000138663, 0.000143902, 5.23849e-06
413: 0.000135913, 0.000141052, 5.13934e-06
414: 0.000133217, 0.000138259, 5.04206e-06
415: 0.000130575, 0.000135521, 4.94662e-06
416: 0.000127985, 0.000132838, 4.85298e-06
417: 0.000125446, 0.000130207, 4.76111e-06
418: 0.000122958, 0.000127629, 4.67097e-06
419: 0.000120519, 0.000125102, 4.58254e-06
